Speed (m/s),Order ID,Place
2.8,10,Epsom College South
2.8,11,Higher Green South
2.8,12,Nescot College
2.8,13,Water Works
2.8,14,Rainbow
2.8,15,Gas Works
2.8,16,Lane Theatre Art College
2.8,17,Road Works
2.8,18,Fire Station
2.8,19,Police Station
2.8,20,Bodhi Eden
2.8,21,Coffee
2.8,22,Epsom High Street
2.8,23,Kebab Shop
2.8,24,Chinese Restaurant
2.8,25,Metropolis
2.9,0,Metropolis
2.9,1,Chinese Restaurant
2.9,2,Emily Davison
2.9,3,Evocation of Speed
2.9,4,Le Spectre De La Rose
2.9,5,Epsom Hospital North
2.9,6,Wilmerhatch Lane
2.9,7,The Grumpy Mole
2.9,8,The Rising Sun
2.9,9,The Cricketers Inn
2.9,10,Burgh Heath Road
2.9,11,Epsom College South
2.9,12,Higher Green South
2.9,13,Nescot College
2.9,14,Water Works
2.9,15,Gas Works
2.9,16,Rainbow
2.9,17,Lane Theatre Art College
2.9,18,Road Works
2.9,19,Fire Station
2.9,20,Police Station
2.9,21,Coffee
2.9,22,Bodhi Eden
2.9,23,Epsom High Street
2.9,24,Kebab Shop
2.9,25,Metropolis
3.0,0,Metropolis
3.0,1,Epsom High Street
3.0,2,Bodhi Eden
3.0,3,Coffee
3.0,4,Police Station
3.0,5,Fire Station
3.0,6,Road Works
3.0,7,Lane Theatre Art College
3.0,8,Rainbow
3.0,9,Water Works
3.0,10,Nescot College
3.0,11,Higher Green South
3.0,12,Epsom Golf Club
3.0,13,Epsom College South
3.0,14,Burgh Heath Road
3.0,15,The Rising Sun
3.0,16,The Cricketers Inn
3.0,17,The Grumpy Mole
3.0,18,Epsom Hospital North
3.0,19,Wilmerhatch Lane
3.0,20,Le Spectre De La Rose
3.0,21,Evocation of Speed
3.0,22,Emily Davison
3.0,23,Kebab Shop
3.0,24,Chinese Restaurant
3.0,25,Metropolis
3.1,0,Metropolis
3.1,1,Kebab Shop
3.1,2,Epsom High Street
3.1,3,Coffee
3.1,4,Bodhi Eden
3.1,5,Police Station
3.1,6,Fire Station
3.1,7,Road Works
3.1,8,Lane Theatre Art College
3.1,9,Gas Works
3.1,10,Rainbow
3.1,11,Water Works
3.1,12,Nescot College
3.1,13,Higher Green South
3.1,14,Epsom Golf Club
3.1,15,Epsom College South
3.1,16,Burgh Heath Road
3.1,17,The Cricketers Inn
3.1,18,The Rising Sun
3.1,19,The Grumpy Mole
3.1,20,Wilmerhatch Lane
3.1,21,Epsom Hospital North
3.1,22,Le Spectre De La Rose
3.1,23,Evocation of Speed
3.1,24,Emily Davison
3.1,25,Chinese Restaurant
3.1,26,Metropolis
3.2,0,Metropolis
3.2,1,Chinese Restaurant
3.2,2,Kebab Shop
3.2,3,Epsom High Street
3.2,4,Coffee
3.2,5,Bodhi Eden
3.2,6,Police Station
3.2,7,Fire Station
3.2,8,Road Works
3.2,9,Lane Theatre Art College
3.2,10,Rainbow
3.2,11,Gas Works
3.2,12,Water Works
3.2,13,Ewell Village South
3.2,14,Nescot College
3.2,15,Higher Green South
3.2,16,Epsom Golf Club
3.2,17,Epsom College South
3.2,18,Burgh Heath Road
3.2,19,The Rising Sun
3.2,20,The Cricketers Inn
3.2,21,The Grumpy Mole
3.2,22,Wilmerhatch Lane
3.2,23,Epsom Hospital North
3.2,24,Le Spectre De La Rose
3.2,25,Evocation of Speed
3.2,26,Emily Davison
3.2,27,Metropolis
3.3,0,Metropolis
3.3,1,Epsom High Street
3.3,2,Bodhi Eden
3.3,3,Coffee
3.3,4,Police Station
3.3,5,Fire Station
3.3,6,Road Works
3.3,7,Lane Theatre Art College
3.3,8,Rainbow
3.3,9,Gas Works
3.3,10,Water Works
3.3,11,Ewell Village South
3.3,12,Nescot College
3.3,13,Higher Green South
3.3,14,Epsom Golf Club
3.3,15,Epsom College South
3.3,16,Burgh Heath Road
3.3,17,The Cricketers Inn
3.3,18,The Rising Sun
3.3,19,The Grumpy Mole
3.3,20,Wilmerhatch Lane
3.3,21,Epsom Hospital North
3.3,22,Le Spectre De La Rose
3.3,23,Evocation of Speed
3.3,24,Emily Davison
3.3,25,Kebab Shop
3.3,26,Chinese Restaurant
3.3,27,Metropolis
3.4,0,Metropolis
3.4,1,Epsom High Street
3.4,2,Bodhi Eden
3.4,3,Coffee
3.4,4,Police Station
3.4,5,Fire Station
3.4,6,Road Works
3.4,7,Lane Theatre Art College
3.4,8,Gas Works
3.4,9,Rainbow
3.4,10,Water Works
3.4,11,Ewell Village South
3.4,12,Nescot College
3.4,13,Higher Green South
3.4,14,Epsom Golf Club
3.4,15,Epsom College South
3.4,16,Burgh Heath Road
3.4,17,The Rising Sun
3.4,18,The Cricketers Inn
3.4,19,The Grumpy Mole
3.4,20,Epsom Hospital North
3.4,21,Wilmerhatch Lane
3.4,22,Le Spectre De La Rose
3.4,23,Evocation of Speed
3.4,24,Emily Davison
3.4,25,Kebab Shop
3.4,26,Chinese Restaurant
3.4,27,Metropolis
3.5,0,Metropolis
3.5,1,Chinese Restaurant
3.5,2,Kebab Shop
3.5,3,Emily Davison
3.5,4,Evocation of Speed
3.5,5,Le Spectre De La Rose
3.5,6,Wilmerhatch Lane
3.5,7,Epsom Hospital North
3.5,8,The Grumpy Mole
3.5,9,The Rising Sun
3.5,10,The Cricketers Inn
3.5,11,Burgh Heath Road
3.5,12,Epsom College South
3.5,13,Epsom Golf Club
3.5,14,Higher Green South
3.5,15,Nescot College
3.5,16,Ewell Village South
3.5,17,Water Works
3.5,18,Rainbow
3.5,19,Gas Works
3.5,20,Lane Theatre Art College
3.5,21,Road Works
3.5,22,Fire Station
3.5,23,Police Station
3.5,24,Bodhi Eden
3.5,25,Coffee
3.5,26,Epsom High Street
3.5,27,Metropolis
3.6,0,Metropolis
3.6,1,Kebab Shop
3.6,2,Epsom High Street
3.6,3,Bodhi Eden
3.6,4,Coffee
3.6,5,Police Station
3.6,6,Fire Station
3.6,7,Road Works
3.6,8,Lane Theatre Art College
3.6,9,Rainbow
3.6,10,Gas Works
3.6,11,Water Works
3.6,12,Ewell Village South
3.6,13,Nescot College
3.6,14,Higher Green South
3.6,15,Epsom Golf Club
3.6,16,Epsom College South
3.6,17,Burgh Heath Road
3.6,18,The Rising Sun
3.6,19,The Cricketers Inn
3.6,20,The Grumpy Mole
3.6,21,Epsom Hospital North
3.6,22,Wilmerhatch Lane
3.6,23,Le Spectre De La Rose
3.6,24,Evocation of Speed
3.6,25,Emily Davison
3.6,26,Chinese Restaurant
3.6,27,Metropolis
3.7,0,Metropolis
3.7,1,Emily Davison
3.7,2,Evocation of Speed
3.7,3,Le Spectre De La Rose
3.7,4,Epsom Hospital North
3.7,5,Wilmerhatch Lane
3.7,6,The Grumpy Mole
3.7,7,The Cricketers Inn
3.7,8,The Rising Sun
3.7,9,Burgh Heath Road
3.7,10,Epsom College South
3.7,11,Epsom Golf Club
3.7,12,Higher Green South
3.7,13,Nescot College
3.7,14,Ewell Village South
3.7,15,Water Works
3.7,16,Gas Works
3.7,17,Rainbow
3.7,18,Lane Theatre Art College
3.7,19,Road Works
3.7,20,Fire Station
3.7,21,Police Station
3.7,22,Coffee
3.7,23,Bodhi Eden
3.7,24,Epsom High Street
3.7,25,Kebab Shop
3.7,26,Chinese Restaurant
3.7,27,Metropolis
3.8,0,Metropolis
3.8,1,Emily Davison
3.8,2,Evocation of Speed
3.8,3,Le Spectre De La Rose
3.8,4,Wilmerhatch Lane
3.8,5,Epsom Hospital North
3.8,6,The Grumpy Mole
3.8,7,The Cricketers Inn
3.8,8,The Rising Sun
3.8,9,Burgh Heath Road
3.8,10,Epsom College South
3.8,11,Epsom Golf Club
3.8,12,Higher Green South
3.8,13,Nescot College
3.8,14,Ewell Village South
3.8,15,Water Works
3.8,16,Rainbow
3.8,17,Gas Works
3.8,18,Lane Theatre Art College
3.8,19,Road Works
3.8,20,Fire Station
3.8,21,Police Station
3.8,22,Coffee
3.8,23,Bodhi Eden
3.8,24,Epsom High Street
3.8,25,Kebab Shop
3.8,26,Chinese Restaurant
3.8,27,Metropolis
3.9,0,Metropolis
3.9,1,Chinese Restaurant
3.9,2,Kebab Shop
3.9,3,Emily Davison
3.9,4,Evocation of Speed
3.9,5,Le Spectre De La Rose
3.9,6,Wilmerhatch Lane
3.9,7,Epsom Hospital North
3.9,8,The Grumpy Mole
3.9,9,The Cricketers Inn
3.9,10,The Rising Sun
3.9,11,Burgh Heath Road
3.9,12,Epsom College South
3.9,13,Epsom Golf Club
3.9,14,Higher Green South
3.9,15,Nescot College
3.9,16,Ewell Village South
3.9,17,Water Works
3.9,18,Gas Works
3.9,19,Rainbow
3.9,20,Lane Theatre Art College
3.9,21,Road Works
3.9,22,Fire Station
3.9,23,Police Station
3.9,24,Bodhi Eden
3.9,25,Coffee
3.9,26,Epsom High Street
3.9,27,Metropolis
4.0,0,Metropolis
4.0,1,Epsom High Street
4.0,2,Bodhi Eden
4.0,3,Coffee
4.0,4,Police Station
4.0,5,Fire Station
4.0,6,Road Works
4.0,7,Lane Theatre Art College
4.0,8,Gas Works
4.0,9,Rainbow
4.0,10,Water Works
4.0,11,Ewell Village North
4.0,12,Stoneleigh Broadway
4.0,13,Nescot College
4.0,14,Higher Green South
4.0,15,Epsom College South
4.0,16,Burgh Heath Road
4.0,17,The Rising Sun
4.0,18,The Cricketers Inn
4.0,19,The Grumpy Mole
4.0,20,Epsom Hospital North
4.0,21,Wilmerhatch Lane
4.0,22,Le Spectre De La Rose
4.0,23,Evocation of Speed
4.0,24,Emily Davison
4.0,25,Kebab Shop
4.0,26,Chinese Restaurant
4.0,27,Metropolis
4.1,0,Metropolis
4.1,1,Kebab Shop
4.1,2,Epsom High Street
4.1,3,Bodhi Eden
4.1,4,Coffee
4.1,5,Police Station
4.1,6,Fire Station
4.1,7,Road Works
4.1,8,Lane Theatre Art College
4.1,9,Rainbow
4.1,10,Gas Works
4.1,11,Water Works
4.1,12,Ewell Village North
4.1,13,Stoneleigh Broadway
4.1,14,Nescot College
4.1,15,Higher Green South
4.1,16,Epsom College South
4.1,17,Burgh Heath Road
4.1,18,The Rising Sun
4.1,19,The Cricketers Inn
4.1,20,The Grumpy Mole
4.1,21,Epsom Hospital North
4.1,22,Wilmerhatch Lane
4.1,23,Le Spectre De La Rose
4.1,24,Evocation of Speed
4.1,25,Emily Davison
4.1,26,Chinese Restaurant
4.1,27,Metropolis
4.2,0,Metropolis
4.2,1,Emily Davison
4.2,2,Evocation of Speed
4.2,3,Le Spectre De La Rose
4.2,4,Epsom Hospital North
4.2,5,Wilmerhatch Lane
4.2,6,The Grumpy Mole
4.2,7,The Rising Sun
4.2,8,The Cricketers Inn
4.2,9,Burgh Heath Road
4.2,10,Epsom College South
4.2,11,Epsom Golf Club
4.2,12,Higher Green South
4.2,13,Nescot College
4.2,14,Stoneleigh Broadway
4.2,15,Ewell Village South
4.2,16,Water Works
4.2,17,Rainbow
4.2,18,Lane Theatre Art College
4.2,19,Road Works
4.2,20,Fire Station
4.2,21,Police Station
4.2,22,Coffee
4.2,23,Bodhi Eden
4.2,24,Epsom High Street
4.2,25,Kebab Shop
4.2,26,Chinese Restaurant
4.2,27,Metropolis
4.3,0,Metropolis
4.3,1,Chinese Restaurant
4.3,2,Emily Davison
4.3,3,Evocation of Speed
4.3,4,Le Spectre De La Rose
4.3,5,Wilmerhatch Lane
4.3,6,Epsom Hospital North
4.3,7,The Grumpy Mole
4.3,8,The Rising Sun
4.3,9,The Cricketers Inn
4.3,10,Burgh Heath Road
4.3,11,Epsom College South
4.3,12,Epsom Golf Club
4.3,13,Higher Green South
4.3,14,Nescot College
4.3,15,Stoneleigh Broadway
4.3,16,Ewell Village South
4.3,17,Water Works
4.3,18,Rainbow
4.3,19,Gas Works
4.3,20,Lane Theatre Art College
4.3,21,Road Works
4.3,22,Fire Station
4.3,23,Police Station
4.3,24,Coffee
4.3,25,Bodhi Eden
4.3,26,Epsom High Street
4.3,27,Kebab Shop
4.3,28,Metropolis
4.4,0,Metropolis
4.4,1,Chinese Restaurant
4.4,2,Kebab Shop
4.4,3,Emily Davison
4.4,4,Evocation of Speed
4.4,5,Le Spectre De La Rose
4.4,6,Epsom Hospital North
4.4,7,Wilmerhatch Lane
4.4,8,The Grumpy Mole
4.4,9,The Cricketers Inn
4.4,10,The Rising Sun
4.4,11,Burgh Heath Road
4.4,12,Epsom College South
4.4,13,Epsom Golf Club
4.4,14,Higher Green South
4.4,15,Nescot College
4.4,16,Stoneleigh Broadway
4.4,17,Ewell Village North
4.4,18,Water Works
4.4,19,Rainbow
4.4,20,Gas Works
4.4,21,Lane Theatre Art College
4.4,22,Road Works
4.4,23,Fire Station
4.4,24,Police Station
4.4,25,Coffee
4.4,26,Bodhi Eden
4.4,27,Epsom High Street
4.4,28,Metropolis
