Speed (m/s),Order ID,Place
4.5,14,Ntunetta (Ewell)
4.5,15,The Watch House
4.5,16,Ewell West Train Station
4.5,17,Nova Forca
4.5,18,Glyn School
4.5,19,Opposite Pets at Home
4.5,20,Metropolis
4.6,0,Metropolis
4.6,1,Epsom Train Station
4.6,2,Epsom Air Scouts
4.6,3,Long Grove Skate Park
4.6,4,Hobbledown Farm
4.6,5,Adventure Golf
4.6,6,Danetree Primary School
4.6,7,Harrier Centre
4.6,8,Ewell Court House
4.6,9,Stoneleigh Train Station
4.6,10,Nonsuch Mansion House
4.6,11,Nonsuch
4.6,12,Ewell East Train Station
4.6,13,Nescott College
4.6,14,The Watch House
4.6,15,Ewell West Train Station
4.6,16,Nova Forca
4.6,17,Glyn School
4.6,18,Opposite Pets at Home
4.6,19,Epsom Odeon
4.6,20,Dominos (Epsom)
4.6,21,Metropolis
4.7,0,Metropolis
4.7,1,Epsom Playhouse
4.7,2,Epsom Train Station
4.7,3,Long Grove Skate Park
4.7,4,Hobbledown Farm
4.7,5,Adventure Golf
4.7,6,Danetree Primary School
4.7,7,Harrier Centre
4.7,8,Ewell Court House
4.7,9,Stoneleigh Train Station
4.7,10,Nonsuch Mansion House
4.7,11,Nonsuch
4.7,12,Ewell East Train Station
4.7,13,Nescott College
4.7,14,Ntunetta (Ewell)
4.7,15,The Watch House
4.7,16,Ewell West Train Station
4.7,17,Nova Forca
4.7,18,Glyn School
4.7,19,Opposite Pets at Home
4.7,20,Epsom Odeon
4.7,21,Metropolis
4.8,0,Metropolis
4.8,1,Dominos (Epsom)
4.8,2,Epsom Odeon
4.8,3,Opposite Pets at Home
4.8,4,Glyn School
4.8,5,Nova Forca
4.8,6,Ewell West Train Station
4.8,7,The Watch House
4.8,8,Nescott College
4.8,9,Ewell East Train Station
4.8,10,Nonsuch
4.8,11,Nonsuch Mansion House
4.8,12,Stoneleigh Train Station
4.8,13,Ewell Court House
4.8,14,Harrier Centre
4.8,15,Danetree Primary School
4.8,16,Adventure Golf
4.8,17,Hobbledown Farm
4.8,18,Long Grove Skate Park
4.8,19,Epsom Train Station
4.8,20,The Clock Tower
4.8,21,Epsom Playhouse
4.8,22,Epsom Methodist Scout Group
4.8,23,Metropolis
4.9,0,Metropolis
4.9,1,Epsom Train Station
4.9,2,The Clock Tower
4.9,3,Epsom Playhouse
4.9,4,Epsom Methodist Scout Group
4.9,5,Epsom Town Hall
4.9,6,Epsom Odeon
4.9,7,Opposite Pets at Home
4.9,8,Glyn School
4.9,9,Nova Forca
4.9,10,Ewell West Train Station
4.9,11,The Watch House
4.9,12,Ntunetta (Ewell)
4.9,13,Nescott College
4.9,14,Ewell East Train Station
4.9,15,Nonsuch
4.9,16,Nonsuch Mansion House
4.9,17,Stoneleigh Train Station
4.9,18,Ewell Court House
4.9,19,Harrier Centre
4.9,20,Danetree Primary School
4.9,21,Adventure Golf
4.9,22,Hobbledown Farm
4.9,23,Long Grove Skate Park
4.9,24,Metropolis
5,0,Metropolis
5,1,Epsom Train Station
5,2,Epsom Air Scouts
5,3,Long Grove Skate Park
5,4,Little Acres Lodge
5,5,Hobbledown Farm
5,6,Adventure Golf
5,7,Danetree Primary School
5,8,Harrier Centre
5,9,Ewell Court House
5,10,Stoneleigh Train Station
5,11,Nonsuch Mansion House
5,12,Nonsuch
5,13,Ewell East Train Station
5,14,Nescott College
5,15,The Watch House
5,16,Ewell West Train Station
5,17,Nova Forca
5,18,Glyn School
5,19,Opposite Pets at Home
5,20,Epsom Odeon
5,21,Dominos (Epsom)
5,22,Metropolis
5.1,0,Metropolis
5.1,1,The Clock Tower
5.1,2,Epsom Train Station
5.1,3,Epsom Air Scouts
5.1,4,Long Grove Skate Park
5.1,5,Little Acres Lodge
5.1,6,Hobbledown Farm
5.1,7,Adventure Golf
5.1,8,Danetree Primary School
5.1,9,Harrier Centre
5.1,10,Ewell Court House
5.1,11,Stoneleigh Train Station
5.1,12,Nonsuch Mansion House
5.1,13,Nonsuch
5.1,14,Ewell East Train Station
5.1,15,Nescott College
5.1,16,The Watch House
5.1,17,Ewell West Train Station
5.1,18,Nova Forca
5.1,19,Glyn School
5.1,20,Opposite Pets at Home
5.1,21,Epsom Odeon
5.1,22,Dominos (Epsom)
5.1,23,Metropolis
5.2,0,Metropolis
5.2,1,Epsom Methodist Scout Group
5.2,2,Epsom Playhouse
5.2,3,The Clock Tower
5.2,4,Epsom Train Station
5.2,5,Long Grove Skate Park
5.2,6,Little Acres Lodge
5.2,7,Hobbledown Farm
5.2,8,Adventure Golf
5.2,9,Danetree Primary School
5.2,10,Harrier Centre
5.2,11,Ewell Court House
5.2,12,Stoneleigh Train Station
5.2,13,Nonsuch Mansion House
5.2,14,Nonsuch
5.2,15,Ewell East Train Station
5.2,16,Nescott College
5.2,17,The Watch House
5.2,18,Ewell West Train Station
5.2,19,Nova Forca
5.2,20,Glyn School
5.2,21,Opposite Pets at Home
5.2,22,Epsom Odeon
5.2,23,Dominos (Epsom)
5.2,24,Metropolis
5.3,0,Metropolis
5.3,1,Epsom Train Station
5.3,2,The Clock Tower
5.3,3,Epsom Playhouse
5.3,4,Epsom Methodist Scout Group
5.3,5,Epsom Town Hall
5.3,6,Epsom Odeon
5.3,7,Dominos (Epsom)
5.3,8,Opposite Pets at Home
5.3,9,Glyn School
5.3,10,Nova Forca
5.3,11,Ewell West Train Station
5.3,12,The Watch House
5.3,13,Nescott College
5.3,14,Ewell East Train Station
5.3,15,Nonsuch
5.3,16,Nonsuch Mansion House
5.3,17,Stoneleigh Train Station
5.3,18,Ewell Court House
5.3,19,Harrier Centre
5.3,20,Danetree Primary School
5.3,21,Adventure Golf
5.3,22,Hobbledown Farm
5.3,23,Little Acres Lodge
5.3,24,Long Grove Skate Park
5.3,25,Metropolis
5.4,0,Metropolis
5.4,1,Epsom Train Station
5.4,2,The Clock Tower
5.4,3,Epsom Playhouse
5.4,4,Epsom Methodist Scout Group
5.4,5,Epsom Town Hall
5.4,6,Epsom Odeon
5.4,7,Dominos (Epsom)
5.4,8,Opposite Pets at Home
5.4,9,Glyn School
5.4,10,Nova Forca
5.4,11,Ewell West Train Station
5.4,12,The Watch House
5.4,13,Nescott College
5.4,14,Ewell East Train Station
5.4,15,Nonsuch
5.4,16,Nonsuch Mansion House
5.4,17,Stoneleigh Train Station
5.4,18,Ewell Court House
5.4,19,Harrier Centre
5.4,20,Danetree Primary School
5.4,21,Adventure Golf
5.4,22,Hobbledown Farm
5.4,23,Little Acres Lodge
5.4,24,Long Grove Skate Park
5.4,25,Metropolis
5.5,0,Metropolis
5.5,1,Epsom Train Station
5.5,2,The Clock Tower
5.5,3,Epsom Methodist Scout Group
5.5,4,Epsom Playhouse
5.5,5,Jolly Cooper Pub
5.5,6,Little Acres Lodge
5.5,7,Hobbledown Farm
5.5,8,Long Grove Skate Park
5.5,9,Adventure Golf
5.5,10,Danetree Primary School
5.5,11,Harrier Centre
5.5,12,Ewell Court House
5.5,13,Stoneleigh Train Station
5.5,14,Nonsuch Mansion House
5.5,15,Nonsuch
5.5,16,Ewell East Train Station
5.5,17,Nescott College
5.5,18,The Watch House
5.5,19,Ewell West Train Station
5.5,20,Nova Forca
5.5,21,Glyn School
5.5,22,Opposite Pets at Home
5.5,23,Epsom Odeon
5.5,24,Dominos (Epsom)
5.5,25,Metropolis
5.6,0,Metropolis
5.6,1,Epsom Train Station
5.6,2,Epsom Methodist Scout Group
5.6,3,Epsom Playhouse
5.6,4,Epsom Hospital
5.6,5,Jolly Cooper Pub
5.6,6,Epsom Well
5.6,7,Little Acres Lodge
5.6,8,Hobbledown Farm
5.6,9,Adventure Golf
5.6,10,Danetree Primary School
5.6,11,Harrier Centre
5.6,12,Ewell Court House
5.6,13,Stoneleigh Train Station
5.6,14,Nonsuch Mansion House
5.6,15,Nonsuch
5.6,16,Ewell East Train Station
5.6,17,Nescott College
5.6,18,The Watch House
5.6,19,Ewell West Train Station
5.6,20,Nova Forca
5.6,21,Glyn School
5.6,22,Opposite Pets at Home
5.6,23,Epsom Odeon
5.6,24,Dominos (Epsom)
5.6,25,Metropolis
5.7,0,Metropolis
5.7,1,Epsom Train Station
5.7,2,The Clock Tower
5.7,3,Epsom Methodist Scout Group
5.7,4,Epsom Playhouse
5.7,5,Epsom Hospital
5.7,6,Jolly Cooper Pub
5.7,7,Epsom Well
5.7,8,Little Acres Lodge
5.7,9,Hobbledown Farm
5.7,10,Adventure Golf
5.7,11,Danetree Primary School
5.7,12,Harrier Centre
5.7,13,Ewell Court House
5.7,14,Stoneleigh Train Station
5.7,15,Nonsuch Mansion House
5.7,16,Nonsuch
5.7,17,Ewell East Train Station
5.7,18,Nescott College
5.7,19,The Watch House
5.7,20,Ewell West Train Station
5.7,21,Nova Forca
5.7,22,Glyn School
5.7,23,Opposite Pets at Home
5.7,24,Epsom Odeon
5.7,25,Dominos (Epsom)
5.7,26,Metropolis
5.8,0,Metropolis
5.8,1,Dominos (Epsom)
5.8,2,Epsom Odeon
5.8,3,Opposite Pets at Home
5.8,4,Glyn School
5.8,5,Nova Forca
5.8,6,Ewell West Train Station
5.8,7,The Watch House
5.8,8,Nescott College
5.8,9,Ewell East Train Station
5.8,10,Nonsuch
5.8,11,Nonsuch Mansion House
5.8,12,Stoneleigh Train Station
5.8,13,Ewell Court House
5.8,14,Harrier Centre
5.8,15,Danetree Primary School
5.8,16,Adventure Golf
5.8,17,Hobbledown Farm
5.8,18,Little Acres Lodge
5.8,19,Epsom Well
5.8,20,Jolly Cooper Pub
5.8,21,Epsom Hospital
5.8,22,Epsom Playhouse
5.8,23,Epsom Methodist Scout Group
5.8,24,Epsom Town Hall
5.8,25,The Clock Tower
5.8,26,Epsom Train Station
5.8,27,Metropolis
5.9,0,Metropolis
5.9,1,Opposite Pets at Home
5.9,2,Glyn School
5.9,3,Nova Forca
5.9,4,Ewell West Train Station
5.9,5,The Watch House
5.9,6,Ntunetta (Ewell)
5.9,7,Nescott College
5.9,8,Ewell East Train Station
5.9,9,Nonsuch
5.9,10,Nonsuch Mansion House
5.9,11,Stoneleigh Train Station
5.9,12,Ewell Court House
5.9,13,Harrier Centre
5.9,14,Danetree Primary School
5.9,15,Adventure Golf
5.9,16,Long Grove Skate Park
5.9,17,Hobbledown Farm
5.9,18,Little Acres Lodge
5.9,19,Epsom Well
5.9,20,Jolly Cooper Pub
5.9,21,Epsom Hospital
5.9,22,Epsom Playhouse
5.9,23,Epsom Methodist Scout Group
5.9,24,Epsom Train Station
5.9,25,Metropolis
